symbol	log2FoldChange	padj
ELOVL5	-0.197665284603724	0.0179301088172308
PGM3	0.0627177915258645	0.845550770140505
PIAS1	-0.0222116324270331	0.934125279173061
RRP12	0.10872903747	0.512681443625294
APPBP2	-0.0520540639569398	0.820439605533594
GNAI3	-0.0366998115416139	0.901983668714109
IDI1	0.0905520003433157	0.70054629866663
PLPP1	-0.367990142747487	1.77042532573075e-09
PTPN21	-0.0931676328664354	0.79687755487698
ACTN1	0.0409430324128063	0.849768752184257
LMAN1	-0.0643445516065064	0.845550770140505
TPD52	-0.211664077054884	0.00109755338289724
XRCC5	-0.110455662579661	0.390245465037836
CDC14B	0.0489008238682543	0.900439824711359
B4GALT1	-0.0590871601006041	0.806162826911615
HSD17B14	-0.0484713570394377	NA
FKBP5	-0.254712413797459	0.000533090944987492
SCD	0.00675651878992764	0.981535883496009
VAPA	-0.0401704271999689	0.896178111018489
MYL12A	0.00855499421503412	0.986767957131089
SMS	-0.168237972723564	0.199149575053661
TSC22D1	-0.0764366259792749	0.700124696192161
UBE2I	0.111176726439539	0.428225605165321
HOMER2	-0.270988685782357	0.25502163664285
NDRG1	-0.0717288064997215	0.799314844009059
GSR	-0.0270700946727356	0.903671952914107
CDK6	-0.187757030046992	NA
ZMIZ1	-0.249558846461664	3.59823280236678e-08
INPP4B	-0.211872645664531	0.0656826999823016
CCND1	0.011472047631326	0.960934352021145
CAMKK2	-0.348720358855181	2.0037176331684e-08
MAK	-0.260590771076357	NA
CCND3	-0.0892123641634898	0.806530083428875
SRF	-0.00731141010193157	0.98797817429108
HMGCS1	0.0465046611442009	0.892647736390976
HMGCR	-0.0367061415273101	0.901983668714109
LIFR	0.0294597039656184	0.928899454523013
DHCR24	-0.0321686449566078	0.894545047957539
UAP1	-0.3047247401368	5.28908352609532e-07
SGK1	-0.188159788160788	0.430809110870963
ELL2	-0.440137355871873	4.29947268679798e-10
PTK2B	-0.0984196400384247	0.42656616561657
ACSL3	-0.0446759466170255	0.843516124344634
PMEPA1	-0.527559144162204	3.79242348929915e-14
SPDEF	-0.248538808587219	0.00852685208269215
ABCC4	-0.393520201197903	4.20490273271214e-14
STEAP4	-0.346082189391376	NA
DNAJB9	-0.0139862776717348	NA
SPCS3	0.0163617580094577	NA
SAT1	-0.0650841772649128	NA
ADRM1	0.151814875418026	0.324998233055703
AKAP12	-0.070101451904465	NA
SLC38A2	-0.105310203907934	0.529204856177665
MAP7	-0.0338890819058928	0.88553254241708
ITGAV	0.00578744023532589	0.98797817429108
HERC3	-0.329636454925717	2.83688866515857e-06
BMPR1B	-0.161650400820261	0.450768402685948
SORD	-0.184352089958272	0.00723430669386569
ABHD2	-0.39788712389997	1.90012228939303e-10
AKT1	0.138448205430405	0.227616769618292
KLK3	-0.717976367608022	NA
IQGAP2	-0.367995676405882	0.00936085463374165
TNFAIP8	-0.254342797234819	0.00474910630836486
FADS1	-0.0186762739674543	0.939910637993754
ARID5B	-0.284181293978232	4.07619116078899e-05
SEC24D	0.17722275359265	0.295970767011196
NGLY1	0.0312531542198802	0.905888601194335
GPD1L	-0.0296114104150788	0.938720606779251
SRP19	0.0899196244251476	0.695425589343309
MERTK	-0.11069084570473	0.6469273293698
ANKH	-0.234724000416393	0.0173865064432182
ADAMTS1	-0.0575260819453819	0.744004312861092
DBI	-0.0281877243800488	0.929198342420989
SLC26A2	-0.0806333905390188	NA
ELK4	-0.28325677799619	0.000308559326726829
AZGP1	-0.282925966937482	NA
PDLIM5	-0.129269274127051	0.482436017181712
GUCY1A1	-0.277867273439194	0.00736644119512341
HPGD	-0.159948384008628	NA
CENPN	-0.119986765164419	0.450768402685948
B2M	-0.291196803275982	NA
NKX3-1	-0.331441700992893	2.78973950903979e-08
KLK2	-0.878704569768051	8.36292094920242e-12
RAB4A	-0.273755203293943	0.0019163772038615
KRT8	0.110688353255472	0.593483924668893
PA2G4	-0.032240105490731	0.915914921084103
KRT19	-0.156832302856301	NA
RPS6KA3	-0.0659182560176712	0.769763214420023
MAF	-0.331918293344007	NA
TMEM50A	0.0717033284133007	NA
TMPRSS2	-0.583534926178823	2.93308936874518e-26
ALDH1A3	-0.401641336313652	NA
INSIG1	0.0562010447814866	0.845132190487353
H1-0	0.253308424301413	0.102773235860094
XRCC6	0.0629198258691151	0.761720322037005
STK39	-0.285503102601383	1.08606199225639e-07
UBE2J1	0.0701822636423313	0.863366612205194
ZBTB10	-0.551488164848526	5.8477455984169e-17
SELENOP	0.0734961659787665	0.848426090856997
NCOA4	0.0441160280686984	0.88553254241708
