symbol	log2FoldChange	padj
RAD52	0.0988532163687386	0.56996868758738
POLR2J	0.111059843467493	0.680125887755212
RALA	0.0265868873047929	0.928630803937049
REV3L	-0.0794897229281588	0.667349480063232
ELOA	-0.0254439871508646	0.948514963451988
ERCC1	0.0456349588340937	0.905888601194335
POLA2	0.0313871482066384	0.908030233379033
RRM2B	-0.117002298097727	0.674261026232735
ERCC8	-0.109284297976101	0.608078211025059
RFC2	0.127908742962801	0.462830530553988
RAD51	0.0255544679583298	0.946251627800475
SEC61A1	0.0506406030815559	0.799314844009059
POLD1	0.072363819839848	0.771092077021736
POLR1H	-0.501012163036876	NA
POLB	0.00843502477075941	0.980867292421251
TSG101	0.00299106896317761	0.99264026119424
POLD3	0.0598734583090239	0.799314844009059
NFX1	-0.0169155649081732	0.947392595240176
TMED2	0.0147650587823917	0.968762788524124
AAAS	0.0190781677135262	0.961748346109649
POLR2E	0.189245627827337	0.147542605187331
POLR2F	0.00622666278060939	0.987864058131975
RBX1	0.0952543669064063	0.666605189765452
GMPR2	0.101500041098945	NA
RAE1	-0.017726517192592	0.957355512692923
NELFCD	0.0108352548568053	0.974782059258092
RNMT	0.0190649874273565	0.964237162235698
POLA1	-0.0695631406230744	0.736831943674258
USP11	0.0791848772504467	NA
POLR2C	0.0456863396251119	0.903671952914107
NME3	-0.10049027387773	NA
MPG	0.118839956264584	NA
TAF1C	0.286303165406839	NA
NME4	0.141432498083396	NA
BRF2	0.238925944397716	0.282900367134693
ERCC2	0.0226869094375425	0.961748346109649
POLR2I	0.13737160077731	NA
LIG1	0.0847842421388885	0.699663970631851
ELL	0.0119132634546118	0.963653166986259
GSDME	0.0932672537378655	NA
TAF6	0.118044321306615	0.428225605165321
RPA3	0.155729850164623	NA
AK1	0.0271382357816948	NA
EDF1	0.141503051612311	0.571262218453412
GTF2H1	-0.0443529498727821	0.87605276200816
GTF2H3	0.0805946721179036	0.682235251568366
RFC5	0.117245419646251	0.552710547235061
SMAD5	-0.056575931121149	0.825625112492047
UMPS	-0.00154556877920444	0.996411298680865
NCBP2	0.178683507318312	0.385666661316405
EIF1B	0.102395438217367	0.806530083428875
DGUOK	-0.0291667634603918	0.929594385276876
POLE4	-0.0753281173817287	NA
RPA2	0.0917292580617575	0.66640961797049
TAF12	0.0898691603122761	0.61743035357485
POLR3GL	0.107761217032969	NA
NT5C3A	-0.0314556948203629	0.927457293186468
ZWINT	0.0878262135155075	0.837032645571933
SRSF6	-0.0391702733799672	0.865740273403275
UPF3B	0.0877048935909229	0.736709963641888
NT5C	-0.21732907885394	NA
GTF2F1	0.201584008334969	0.305664709687301
ITPA	0.0746441941030082	0.850622902000969
DGCR8	0.0691488512035644	0.760777077381246
DUT	0.050173465016809	0.870265843965958
DAD1	0.0569855587124482	0.901092169316538
ADRM1	0.151814875418026	0.324998233055703
PCNA	-0.0281887852288716	0.932791778552556
DCTN4	-0.00986859142985374	0.973002926667486
RFC3	-0.0999980657443982	0.577511988873668
CMPK2	-0.00635111824314905	NA
DDB2	-0.023566560316477	0.946098569699311
AGO4	0.173685925714412	0.37688883769402
ERCC5	0.100773606664549	NA
SDCBP	0.0215354029102536	0.958460891759034
GTF2B	-0.0266048928309042	0.939533294073721
COX17	0.0363760867364626	0.921589379645463
TARBP2	0.000802882898098678	0.998259030276509
VPS37B	-0.00646317286166174	0.984027021977806
GTF2A2	0.00281959210880747	0.994750925481523
TP53	0.00710868302227494	0.981800678411125
MPC2	-0.161377181564239	0.17301174445311
GUK1	0.138996022369284	0.541130188630844
POLR2D	-0.111725458208928	0.695425589343309
CETN2	0.409342092870834	NA
POLR2K	-0.0657720138310362	NA
AK3	-0.120391903084343	0.580686618446528
SURF1	0.164939208051336	0.445905260475422
GTF3C5	0.0149298922610847	0.965445665157883
SSRP1	-0.0306917221866058	0.943099134537386
CCNO	0.28035204815029	NA
XPC	0.0503129868889621	0.846651979743917
CDA	-0.12814239523896	NA
NPR2	-0.143060037608537	NA
