symbol	log2FoldChange	padj
TSPAN6	0.123136530296093	NA
TNMD	0.313426795522448	NA
DPM1	0.0251858162486866	0.942826591574606
SCYL3	0.0968149462559051	0.647896266959491
C1orf112	-0.0388884494337162	0.908030233379033
FGR	0.124673622810213	NA
CFH	0.138357041005821	NA
FUCA2	-0.0837091595872859	NA
GCLC	0.104695748131717	0.473997054852127
NFYA	-0.0249599120269431	0.935345485315616
STPG1	-0.0429307909504002	NA
NIPAL3	0.0542508108873081	0.87605276200816
LAS1L	-0.00850353901360193	0.980727378921977
ENPP4	0.0940974670364511	NA
SEMA3F	0.11753204010282	0.507746313456196
CFTR	-0.254537114318367	NA
ANKIB1	0.00356898340019855	0.992463064085458
CYP51A1	0.00997396763281323	0.977984065258599
KRIT1	-0.0358144305888572	0.91319830532479
RAD52	0.0988532163687386	0.56996868758738
MYH16	0.0611911632936418	NA
BAD	0.0443755502045045	0.903475689655167
LAP3	-0.0839774301646179	0.761720322037005
CD99	NA	NA
HS3ST1	-0.0224307539829029	0.937763545315842
AOC1	0.152499866837528	NA
WNT16	-1.47092474733333	NA
HECW1	-0.0828756935946853	NA
MAD1L1	0.06566790144081	0.66024215018089
LASP1	-0.0688296880854367	0.846651979743917
SNX11	0.30123194038768	NA
TMEM176A	-0.660014882500848	NA
M6PR	-0.0302198472489694	NA
KLHL13	-0.068636028443306	NA
CYP26B1	-0.053715079490571	NA
ICA1	-0.0665885832477965	0.753625132261328
DBNDD1	-0.0187670197642841	NA
ALS2	0.0480796690660793	0.87605276200816
CASP10	0.0220843637335306	NA
CFLAR	-0.0235770187198941	0.932850146806204
TFPI	-0.524858925539645	2.74261970949611e-11
NDUFAF7	0.0510919430738996	NA
RBM5	0.00817382955751369	0.975263661470195
MTMR7	-0.0139686408316803	NA
SLC7A2	-0.274333038568608	NA
ARF5	-0.0834406155934836	NA
SARM1	0.0810025658667144	0.639920853017579
POLDIP2	0.0143945298633803	0.969589361254573
PLXND1	0.0568421683012789	NA
AK2	-0.0520382486743216	0.832254479613888
CD38	-0.302991836293279	NA
FKBP4	-0.0691275041685479	0.748837423774082
KDM1A	-0.0958526177316795	0.659017309995052
RBM6	0.0613624605239211	0.681517247477581
CAMKK1	-0.0240050152127602	0.928899454523013
RECQL	0.0832151669351356	NA
VPS50	-0.0231826285462641	0.944946032959149
HSPB6	0.151591203120045	NA
ARHGAP33	0.128591560948118	0.690287133327747
NDUFAB1	0.139332426698419	0.525827031660097
PDK4	-0.233980742465922	NA
SLC22A16	-0.050145734208768	NA
ZMYND10	0.0130177131223277	NA
ABCB5	0.116104548965711	NA
ARX	0.347367518209208	NA
SLC25A13	0.0144183530414603	0.952852903130745
ST7	-0.178882133018923	0.0154576682139782
CDC27	0.0137490354612647	0.964237162235698
SLC4A1	-0.132535315693217	NA
CALCR	-0.273660003914843	NA
HCCS	0.0159529801678088	NA
DVL2	0.142224643044491	0.475794657334679
PRSS22	0.458366963545103	NA
UPF1	0.0436665271253671	0.846364567132938
SKAP2	-0.0604217355456369	0.793500576433032
SLC25A5	-0.00508594947380865	0.992463064085458
MCUB	0.0770869568077394	NA
HOXA11	-0.0800521039583706	NA
POLR2J	0.111059843467493	0.680125887755212
DHX33	-0.0739419481469204	0.821303810231798
MEOX1	-0.0816135597175753	NA
THSD7A	-0.0671763259857086	NA
LIG3	-0.0549827114635865	0.849417655901259
RPAP3	0.00610383596117767	0.987864058131975
ACSM3	-0.11492556275629	NA
REXO5	-0.0596727565814421	0.839901758229562
CIAPIN1	-0.0571272251315537	0.869682792199731
SPPL2B	0.146007764155813	0.352572379081689
FAM214B	-0.0734240304542473	NA
COPZ2	0.267192428464043	NA
PRKAR2B	0.0570979405259666	0.860942515088614
MSL3	-0.0917981653665745	NA
CREBBP	0.0362257182319951	0.856837440250506
TSPOAP1	-0.11012012480847	0.748702892395115
MPO	0.528966584476618	NA
PON1	-0.0566586144383118	NA
GCFC2	-0.0698462737499213	0.759866174419042
WDR54	-0.00197043568182542	NA
CROT	-0.371908027396506	1.54365022586865e-09
ABCB4	-0.466782292789401	NA
KMT2E	-0.0569113661235681	0.759866174419042
RHBDD2	0.0897884677144921	0.690287133327747
SOX8	-0.110955978568937	NA
IBTK	-0.0275604406965506	0.92458348280478
