symbol	log2FoldChange	padj
RAD52	0.111029023942323	0.231357518814794
POLR2J	0.168825194272063	0.165762512520579
RALA	0.118501746368014	0.239722754829918
REV3L	0.478801921045757	1.01171504617673e-14
ELOA	0.0785230537333515	0.592705841200636
ERCC1	0.168204038928899	0.191124589465837
POLA2	0.198173348104647	0.0133923144001836
RRM2B	0.691095817928414	8.67210607447438e-14
ERCC8	0.00995449327575172	0.953247833964861
RFC2	0.300089751515987	0.000348131276531452
RAD51	0.258675243039533	0.0143653200668309
SEC61A1	0.530761791984378	1.04397838951677e-23
POLD1	0.268767268412565	0.00119140485951113
POLR1H	-0.399275492994632	NA
POLB	0.173044283032869	0.0785459433628097
TSG101	0.103846699657208	0.263832851824695
POLD3	0.154973938342711	0.0619455189898059
NFX1	0.197687108334285	0.00403275893244373
TMED2	0.156124991281506	0.19488628525179
AAAS	-0.0356117550481204	0.829657472645391
POLR2E	0.24931323107769	0.00463501403045246
POLR2F	0.186041253245941	0.0785669482377943
RBX1	0.106197983016628	0.329475085574584
GMPR2	0.312668432695154	0.114936392804412
RAE1	0.140380632417856	0.147862251321874
NELFCD	0.0899605567887858	0.442105877468445
RNMT	0.115495068130465	0.414487521819388
POLA1	0.0708480554020426	0.472339686645607
USP11	-0.0908377691709049	0.631848763068292
POLR2C	0.0888140670608088	0.543076017862631
NME3	0.331798745487718	0.0959904139653625
MPG	0.257974650420471	0.0808418068362348
TAF1C	-0.00826455789398222	0.97483681012725
NME4	-0.100303503810027	NA
BRF2	0.157609203500835	0.326206936177248
ERCC2	0.214839996089929	0.12579475322403
POLR2I	0.0342199483336486	0.909371586134662
LIG1	0.886604161827239	3.37681020256034e-38
ELL	0.12724229533689	0.0918240400942202
GSDME	-0.0125706486157291	0.97486548450737
TAF6	0.114690246841412	0.203982896941191
RPA3	0.128579749176515	0.551780884093359
AK1	0.640032477626578	6.13032273823333e-08
EDF1	0.271193553429472	0.0207319217680838
GTF2H1	0.0486357613443493	0.689932376320006
GTF2H3	0.233078015816986	0.0022666815933582
RFC5	0.157207246091927	0.129337080893218
SMAD5	0.266905206565087	0.000493671260708474
UMPS	0.15253531886344	0.115504774220299
NCBP2	0.251245477394099	0.0316028422904732
EIF1B	-0.218947679801729	0.154495067724843
DGUOK	0.176640531640159	0.0992056048826282
POLE4	0.053613371757842	0.802915934443835
RPA2	0.064423108781237	0.585573225533011
TAF12	0.133163653502657	0.123036255756888
POLR3GL	-0.279293385432925	0.278372004425524
NT5C3A	0.102910670012981	0.416398974795467
ZWINT	0.0351477620563056	0.870661049979449
SRSF6	0.0754430326284738	0.389327214717886
UPF3B	0.130819146333328	0.242658379094034
NT5C	0.0371248875453822	0.90525104311317
GTF2F1	0.290939045887995	0.0122719466587388
ITPA	0.227231804161626	0.0925461036487803
DGCR8	0.0936021123732129	0.336546557329456
DUT	0.118415866844846	0.277711478515312
DAD1	0.0179714319795418	0.935959614222418
ADRM1	0.25517505817762	0.00323231026364911
PCNA	0.849363209725638	3.47606618958077e-27
DCTN4	0.115749029274525	0.200518274628768
RFC3	-0.000604094595510366	0.997547474189805
CMPK2	0.0219690906298789	0.940803454457119
DDB2	2.09923962492026	4.24437638075938e-174
AGO4	-0.08988228540269	0.534731595322454
ERCC5	-0.0358678270175867	0.887726674619778
SDCBP	-0.0894451610369434	0.538759165845649
GTF2B	0.00257543930859615	0.989846296650697
COX17	-0.0338199710432862	0.840519936910239
TARBP2	0.0608241397107853	0.749731654832355
VPS37B	0.0320138753952758	0.800950615264683
GTF2A2	0.0968333722200136	0.473011422376126
TP53	0.233036244373251	0.00225930152965405
MPC2	-0.121479471798102	0.17484041349221
GUK1	0.21403963040215	0.0642390651869795
POLR2D	0.238304369963429	0.0454536221744994
CETN2	-0.209815827789812	0.660165928076306
POLR2K	0.0258405850466076	0.931715618847843
AK3	0.0756941362511912	0.571312030844348
SURF1	0.192343220116588	0.125128176321928
GTF3C5	-0.00088176119669554	0.996674070178298
SSRP1	0.149434983356169	0.302283499217682
CCNO	-0.125022388647663	0.823182346152309
XPC	1.22154000823753	9.23019588707501e-83
CDA	-0.828600944696768	NA
NPR2	-0.649093811559452	NA
VPS28	0.250574918482178	0.0221017852944954
ERCC3	0.199085942642618	0.0292394965149174
POLR2H	0.208539594218825	0.036529850642616
RFC4	0.0719663671914582	0.596010518235354
SNAPC4	0.157197753803883	0.0562064749744948
HPRT1	0.068039157591987	0.613528191680773
POLL	0.158531987292967	0.241449646670406
TAF10	0.109475582709368	0.414327739809512
TK2	-0.0712880738765209	0.571312030844348
STX3	0.083662464685255	0.367489832264446
NUDT21	-0.00621576439128159	0.97551327772403
GPX4	0.15518875781896	0.351271874554135
DDB1	0.141017130039215	0.117037136947072
POLR2G	0.163704141476293	0.347679080241899
SAC3D1	0.600908493234656	4.06303795495064e-08
FEN1	0.100915217409632	0.594150013600636
NUDT9	-0.0198651480009639	0.911976105684085
ARL6IP1	-0.682483852959283	2.04046880109738e-16
POLH	1.31282362528273	6.9113440729436e-101
CANT1	-0.024224356101302	0.848307612247081
POLR1C	0.238908637215147	0.00834755132351198
CLP1	0.428856601762423	0.0642094356495295
ADCY6	0.302453020334852	0.000476290350193216
SNAPC5	0.107855354452047	0.299152077809978
POLD4	0.138863511237035	0.620138713292275
ERCC4	-0.0670350094409065	0.628756420792274
CSTF3	0.25374632402686	0.00072851890155029
VPS37D	0.406230561518279	0.284533853315208
TYMS	1.00850021586928	2.38832007364986e-41
IMPDH2	0.260310002703065	0.000256432254122405
HCLS1	0.176271981829381	0.272977849478181
ZNF707	NA	NA
POLR2A	0.173078479911499	0.0360470378670721
BOLA2	0.108512765667224	0.466132177051197
SF3A3	0.349999812590082	6.3983439627713e-07
ALYREF	0.247254384508565	0.0546010545901099
PDE4B	-0.278199606460776	0.0825923466069048
PDE6G	0.196376491242735	0.279954050150073
MRPL40	0.218753144964839	0.164764623213732
BCAP31	0.206585456541861	0.045834548542071
POLR3C	0.0749132601012851	0.590978123900165
POLR1D	0.0691224660405199	0.455861627210616
BCAM	0.154383496623546	0.569593976344814
NELFB	0.177827544031779	0.0656753437840675
SUPT5H	0.0982275686248667	0.333057191244548
POM121	0.220672925997991	0.00062106478765652
ADA	0.192814866445014	0.214408210858938
TAF13	0.00694424123569589	0.977034778003318
PRIM1	0.0673341290805227	0.709682976586239
PNP	0.0615205735525693	0.688398480978354
APRT	0.238985416085172	0.0255746029629855
NELFE	0.0236506068273465	0.969824501700612
SUPT4H1	0.156686420968241	0.232384286659889
NME1	0.366078496884237	3.64010817886748e-05
GTF2H5	0.109134782198504	0.50014781208481
TAF9	-0.0815219665909126	0.713874348058746
