symbol	Radiation/Enzalutamide	Radiation/Vehicle	Control/Enzalutamide	Control/Vehicle
CAMKK2	1877.67694068251	2285.72660096757	1609.91425015033	2140.02999536397
CDC14A	1185.50321735456	1476.32694997318	966.477225087778	1106.25135246736
CDC42EP3	584.592472458385	746.415833984714	508.08199211241	616.29437618454
CROT	2341.69672452748	3139.05435452356	1267.40225950296	1577.29920760364
ELOVL7	1083.81927502779	1394.6350206855	878.172699841499	1031.07134553249
FRMPD2	2982.1897416476	3351.63765871589	894.33352342897	1010.9698241583
PMEPA1	1241.96370967007	1684.91843937093	916.639737644325	1412.27714423568
PRAG1	407.677592933837	549.521271555189	255.45550340906	306.524251653299
PVT1	21154.4713703082	24474.6118881798	18767.4550613318	20588.6531622967
RAMP1	2160.52295065558	2475.1531790914	1593.32929438613	1945.71806500284
TLE1	1914.67859717622	2320.23831566704	1792.92820121276	2090.53966602782
TMEM132D	1169.39306433366	2568.058630343	677.751690146131	1345.50008985905
TNFAIP8	1236.18470253165	1537.09125256153	870.889767508441	998.620105003778
TNFRSF10B	3524.10113245973	3985.31839383423	1906.36263478788	2123.70864338114
TP53TG1	869.800836863431	967.967658471928	439.545570099431	560.205598977624
WNT7B	443.311800901635	551.858478551593	380.37791818705	456.01837922493
