symbol	Radiation/Enzalutamide	Radiation/Vehicle	Control/Enzalutamide	Control/Vehicle
ABCC4	4362.30019477531	5678.06856938257	4778.48213817093	6343.44589515046
ADD3	948.098162874986	1194.83333432277	1065.36347044068	1338.47485536018
ADGRG6	2445.95545582777	2962.95861639235	2889.22158777344	3602.95885732618
AFF3	4047.28113428303	4474.89112119478	4258.46701519586	5274.33943186513
AR	10403.9367849056	12741.1230005151	11956.4028563274	13960.7970861181
ARHGAP6	7159.25173914271	8767.1092447735	8319.49113733653	10176.4638016039
BANK1	639.472325890418	817.423828334276	779.933205642866	933.651037460312
BCHE	316.742599667556	409.660069317304	431.012885091181	530.065619042511
BRDT	674.357994734276	782.649498519141	793.406992904371	943.577183176164
C1orf116	2004.9685178089	2935.14773542537	2294.63857779475	3474.43935278219
CDK19	2204.66868994118	2500.89142873515	2467.810468059	2862.88943838084
CFAP69	721.314369986159	849.414172784382	896.382558527338	1088.15436813412
DENND1B	4310.36373571998	4849.89084999672	4880.87752271853	5420.7152488007
DPP4	1003.16779421339	1306.42533171968	1195.15347042886	1516.06672259271
EHF	6661.1166736848	8853.69874461755	7597.06018379496	10138.6271006637
GPR158	3402.51595224574	4275.58569238008	3754.01160554512	4701.37844921155
GULP1	5523.79276275983	6554.7786018076	6766.78770579217	8103.10039254486
HERC3	1294.14383743927	1625.41841626271	1494.10478975123	1875.85024059744
IGF1R	756.51124682923	941.980081935676	869.650567722418	1021.4024528849
INPP4B	1000.4520472003	1216.89861649846	1168.44240881172	1301.164700703
KCNN2	1578.88050785881	2146.86793445305	1692.50644346268	2469.34836214952
LINC01322	525.132752706426	653.91203871682	682.624507653265	876.144699460562
LINC01619	3294.30759234506	3755.02254221609	3798.55042863748	4333.17432777189
MAML3	5131.8032572564	5586.1357802501	5486.90260812314	6119.50447396999
MAOA	2430.69574407693	3629.33843592591	2766.26576453353	4273.22114381088
MCCC2	1206.94371807156	1556.12387599886	1447.36791792131	1866.09978496238
MIPOL1	5046.61290826777	6026.28347963109	5717.94134784596	6718.15218695165
MME	6617.14506886333	7793.09587440003	7890.78446455153	9318.18154922441
MMP16	7914.33619778983	9747.02707822118	9164.42528772239	11069.080676896
MYC	2774.4009123162	3220.88183924368	3697.16450134365	4059.66074137243
NAV3	814.601575803047	942.547602635514	1002.64112673775	1249.56313221101
NEDD4L	10766.0273933657	13569.0901980413	11809.7334792216	15237.7864823995
NKX3-1	1876.7987718366	2288.37851633573	2068.27971571597	2682.46833318821
NR3C2	2912.71127044858	3505.40179628044	3169.18306880264	3923.50336299469
PHLDA1	1010.12015684668	1269.13420628939	1249.51650128494	1394.26572899493
PIK3R1	3210.57602152688	3615.0569356263	3559.27650141312	3926.52085514143
PLPP1	9920.19335152186	12181.3346987862	11138.6066227076	14819.2164848275
PTGFR	354.468574305798	483.445949519619	446.763647020812	590.35092766325
RASSF3	7131.59177147411	9210.21550782461	7743.82805453295	9880.87598731267
REPS2	963.191509170658	1043.59601300069	1092.66680409902	1333.6236914621
RIMS1	1597.82276704496	1797.39832967226	1852.59367893549	2186.63119164998
SCHLAP1	5883.62140730201	6837.75510842954	7223.33242901031	8675.45436842518
SEMA3C	2645.36238356334	3067.78875537198	3052.57432598036	3319.39799238531
SLC2A12	653.002618997097	942.110627054474	707.870144581847	1127.01686118135
SLC45A3	619.376617064143	910.748610149261	724.924961709178	1080.84727631462
SLC4A4	6976.66908797903	9591.72403531398	8436.64453175583	10742.1216876273
ST7	10790.7115987613	12450.101215662	12305.2798687221	13731.1185842163
STEAP1	1051.27605476118	1275.07137488426	1221.04928784615	1522.76918728739
STEAP2	5897.83620684375	6952.89344929075	6518.48423899726	7969.69659459674
STEAP2-AS1	2051.44812813459	2274.90950683397	2290.74039442526	2723.40783338799
STK39	8278.43344794055	10053.0554708803	8989.663759129	11013.1373747874
STXBP5	5073.10890650685	5705.87182595921	5746.80174115621	6478.79489175597
TBL1XR1	11187.435577102	12447.4972250332	12213.2657876822	13474.9090790072
TBPL1	1338.90222874993	1662.53866666321	1542.19289574664	2042.34735836839
TBRG1	741.586964056996	1046.18298256904	941.6943259676	1167.70552681349
TFPI	1429.58848236165	2045.1410638444	1784.13943559697	2538.81613276367
TLL1	974.57889557983	1113.51670241219	1151.99059320531	1421.84281691408
TMPRSS2	4163.56525872101	5786.13077913421	4281.09398883988	6903.96115403566
TNFRSF19	5619.40407564345	6036.7882616299	6166.86949367905	7312.34611545123
TPD52	3211.6580473772	3643.30326729625	3428.82955056262	4055.08047531427
TRIB2	691.444712150741	804.087542348555	783.750748414561	975.118677652571
UAP1	2056.84720155224	2484.06938829046	2437.29593418906	3080.94988653546
UBE2E3	2031.88971032692	2464.72358135944	2475.17575565708	2772.31199424646
UNC13C	1776.09295824963	2048.30644609879	2144.82105292656	2433.54187225272
ZBTB10	1212.07414597992	1809.7355653702	1391.35355777302	2010.70932440308
ZBTB16	5788.50951597975	9633.47709231999	6216.41471591274	11780.5445305242
ZNF385B	1799.21017323951	2519.59561989812	2017.18029633621	2755.084378357
